
Código do anúncio;SKU;Variación ID;Domínio;Categoria;Título;Código universal de produto;Nome do artista;Nome do álbum;Formato;Formato do álbum;Com faixas adicionais;Ano de lançamento;Quantidade de canções;Gênero;Origem;Quantidade de álbuns;
MLB1609328466;;;MLB-MUSIC_ALBUMS;MLB1174;Cd O Som Do Barzinho 10;;CD O Som do Barzinho 10;CD O Som do Barzinho 10;Físico;CD;;2001;11;Samba/Pagode;Brasil;1;
MLB1541472025;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Royce Do Cavaco - Meu Coração É Teu;;Royce do Cavaco;Meu Coração é Teu;Físico;CD;Não;2000;12;MPB;Brasil;1;
MLB1544930663;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Forróçacana - Forró Roça Cana ;;Cd Forróçacana - Forró Roça Cana;Cd Forróçacana - Forró Roça Cana;Físico;CD;Não;2002;14;Forró;Brasil;1;
MLB1549394875;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Adriana Maciel - Acabou Chorare;;Cd Single Adriana Maciel - Acabou Chorare;Cd Single Adriana Maciel - Acabou Chorare;Físico;CD;Não;2004;1;Brasileira;Brasileira;1;
MLB1545857096;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Simone - Brasil O Show;;Cd Simone - Brasil O Show;Cd Simone - Brasil O Show;Físico;CD;Não;1997;14;MPB;Brasil;1;
MLB1545755486;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Lourival - Desejo De Amar;;Antônio Lourival de Oliveira;Desejo de Amar;Físico;CD;Não;;12;Brasileira;Brasil;1;
MLB1541648097;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Nova Cor;;Nova Cor;Brigas de Amor;Físico;CD;Não;1997;10;Pagode;Brasil;1;
MLB1553502763;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Single Vinny - Na Gandaia;;Cd Single Vinny - Na Gandaia;Cd Single Vinny - Na Gandaia;Físico;CD;;1998;4;Brasileira;Brasil;1;
MLB1542546415;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Copacabana Beat - Mel Da Sua Boca;;Copacabana Beat;Mel da Sua Boca;Físico;CD;Não;1995;13;Axé;Brasil;1;
MLB1541661192;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Boca Livre - 20 Anos Convida;;Boca Livre;20 Anos Convida;Físico;CD;Não;1997;11;MPB;Brasil;1;
MLB1673048511;;;MLB-MUSIC_ALBUMS;MLB1174;Dvd Whitney Houston E Lionel Ritchie - Os Dois Grandes Nomes;;DVD Whitney Houston e Lionel Ritchie - Os Dois Grandes Nomes da Soul Music;DVD Whitney Houston e Lionel Ritchie - Os Dois Grandes Nomes da Soul Music;Físico;DVD;Não;2010;1;Soul;Brasil;1;
MLB1643476704;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Hotíssimo 2;;Vinil Hotíssimo 2;Vinil Hotíssimo 2;Físico;Vinil;;1976;10;Pop;Brasil;1;
MLB1639866448;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Uña Ramos - Excel One;;Uña Ramos;Excel One;Físico;Vinil;Não;1981;7;Pop;Japão;1;
MLB1542559032;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Os Agroboys - Homem Objeto;;Os Agroboys;Homem Objeto;Físico;CD;Não;2000;1;Brasileira;Brasil;1;
MLB1608755568;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Promocional Tânia Ayres - Secretos Segredos;;CD Promocional Tânia Ayres - Secretos Segredos;CD Promocional Tânia Ayres - Secretos Segredos;Físico;CD;Não;;4;Brasileira;Brasil;1;
MLB1609363342;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Timbalada - Vamos Dar A Volta No Guetho;;CD Timbalada - Vamos dar a Volta no Guetho;CD Timbalada - Vamos dar a Volta no Guetho;Físico;;Não;;14;Axé;Brasil;1;
MLB1542546849;;;MLB-MUSIC_ALBUMS;MLB1174;Cd Rick E Renner - Eu Mereço;;Rick e Renner;Eu Mereço;Físico;CD;Não;;15;Sertanejo;Brasil;1;
MLB1639977693;;;MLB-MUSIC_ALBUMS;MLB1174; Vinil Olivia Newton John - Physical;;Vinil Olivia Newton John - Physical;Vinil Olivia Newton John - Physical;Físico;Vinil;Não;1981;10;Pop;Brasil;1;
MLB1643514367;;;MLB-MUSIC_ALBUMS;MLB1174;Vinil Tchaikovsky - Mestres Da Música;;Vinil Tchaikovsky - Mestres da Música;Vinil Tchaikovsky - Mestres da Música;Físico;Vinil;Não;;8;Orquestra;Brasil;1;
MLB1608782164;;;MLB-MUSIC_ALBUMS;MLB1174; Cd Pablo E Patrick - Felicidade Começa Com Fé;;CD Pablo e Patrick - Felicidade Começa com Fé;CD Pablo e Patrick - Felicidade Começa com Fé;Físico;CD;Não;2000;12;;;1;
